ImageID,Rows,Columns,NumberOfOnes,BrHorizontalniPromeni,AvgHorizontalnaPromena,BrVertikalniPromeni,AvgVertikalnaPromena,Cluster
42,8,12,64.000000,59.000000,0.491525,56.000000,0.500000,1
43,9,49,31.000000,59.000000,6.322034,58.000000,5.758621,1
44,8,12,72.000000,44.000000,1.000000,42.000000,1.000000,1
45,8,16,20.000000,38.000000,2.157895,36.000000,2.111111,1
46,16,20,42.000000,79.000000,2.848101,76.000000,2.947368,1
47,16,24,122.000000,72.000000,4.111111,75.000000,3.800000,1
49,12,12,39.000000,52.000000,1.538462,47.000000,1.808511,1
50,12,12,122.000000,36.000000,2.666667,37.000000,2.567568,1
51,16,28,62.000000,119.000000,2.630252,114.000000,2.684211,1
52,16,28,71.000000,110.000000,2.927273,105.000000,3.000000,1
53,16,28,175.000000,106.000000,3.075472,109.000000,2.853211,3
54,16,28,175.000000,106.000000,3.075472,109.000000,2.853211,3
55,12,20,46.000000,30.000000,6.600000,78.000000,1.820513,1
56,12,20,42.000000,46.000000,3.956522,68.000000,2.235294,1
57,12,20,44.000000,49.000000,3.653061,70.000000,2.142857,1
58,16,16,52.000000,88.000000,1.727273,55.000000,3.363636,1
59,16,16,48.000000,86.000000,1.790698,38.000000,5.315789,1
60,16,16,60.000000,94.000000,1.553191,39.000000,5.153846,1
61,4,12,24.000000,20.000000,1.200000,36.000000,0.000000,1
62,4,16,32.000000,28.000000,1.142857,48.000000,0.000000,1
63,4,16,32.000000,28.000000,1.142857,48.000000,0.000000,1
64,12,8,48.000000,84.000000,0.000000,40.000000,1.200000,1
65,12,8,48.000000,84.000000,0.000000,40.000000,1.200000,1
66,12,8,48.000000,84.000000,0.000000,40.000000,1.200000,1
67,9,44,117.000000,208.000000,0.860577,99.000000,2.555556,3
68,20,16,112.000000,189.000000,0.587302,116.000000,1.620690,3
69,20,12,84.000000,68.000000,2.235294,147.000000,0.551020,1
6,10,10,41.000000,76.000000,0.184211,72.000000,0.250000,1
70,20,12,84.000000,66.000000,2.333333,154.000000,0.480519,1
71,20,16,86.000000,81.000000,2.703704,130.000000,1.338462,1
72,20,16,160.000000,74.000000,3.054054,268.000000,0.134328,3
73,20,24,120.000000,203.000000,1.266010,109.000000,3.183486,3
74,28,24,183.000000,135.000000,3.770370,309.000000,1.097087,3
75,28,16,224.000000,154.000000,1.727273,356.000000,0.213483,3
76,24,36,208.000000,364.000000,1.307692,153.000000,4.411765,3
77,24,28,336.000000,544.000000,0.191176,214.000000,2.009346,2
78,7,36,126.000000,211.000000,0.161137,62.000000,2.483871,3
79,7,34,119.000000,199.000000,0.160804,60.000000,2.400000,3
7,8,8,32.000000,56.000000,0.000000,56.000000,0.000000,1
80,16,9,70.000000,34.000000,2.764706,118.000000,0.144068,1
81,28,9,123.000000,65.000000,2.446154,211.000000,0.151659,3
82,28,9,121.000000,62.000000,2.612903,201.000000,0.208955,3
83,8,32,60.000000,35.000000,6.085714,26.000000,7.615385,1
84,8,16,32.000000,30.000000,3.000000,35.000000,2.200000,1
85,8,8,34.000000,40.000000,0.400000,40.000000,0.400000,1
86,8,8,40.000000,24.000000,1.333333,24.000000,1.333333,1
87,8,8,40.000000,16.000000,2.500000,16.000000,2.500000,1
88,6,30,38.000000,46.000000,2.782609,39.000000,2.846154,1
89,6,22,42.000000,50.000000,1.520000,42.000000,1.619048,1
8,8,8,22.000000,38.000000,0.473684,38.000000,0.473684,1
90,10,74,174.000000,185.000000,2.945946,163.000000,3.085890,3
91,12,16,96.000000,96.000000,0.875000,80.000000,1.200000,1
92,12,16,96.000000,108.000000,0.666667,112.000000,0.571429,1
93,12,16,98.000000,72.000000,1.500000,64.000000,1.750000,1
94,16,20,168.000000,176.000000,0.727273,160.000000,0.875000,3
95,16,16,128.000000,112.000000,1.142857,112.000000,1.142857,3
96,12,12,72.000000,66.000000,1.000000,66.000000,1.000000,1
97,16,24,104.000000,103.000000,2.572816,96.000000,2.750000,1
98,16,24,156.000000,108.000000,2.407407,96.000000,2.750000,3
99,16,24,86.000000,86.000000,3.279070,80.000000,3.500000,1
9,8,16,84.000000,41.000000,1.926829,38.000000,1.947368,1
